Epoch,FDM,MD,SDG,LDM
0,43.86285733,33.48710467,31.86666667,43.190476
1,29.57714267,25.19742867,26.53333333,36.409524
2,15.29142867,16.90775267,21.2,29.62857133
3,8.062857333,11.72417133,17.2,23.990476
4,6.893904667,10.596838,14.390476,19.36
5,6.703238,10.14889533,13.304762,16.29904733
6,6.519409333,9.461333333,12.93142867,14.70285733
7,6.397904667,9.015542667,12.689524,13.169524
8,6.271352667,8.635352667,12.455238,11.92761933
9,6.085066667,8.345980667,12.26666667,11.23619067
10,5.824686,7.986380667,12.055238,10.93333333
11,5.564990667,7.695924,11.895238,10.53333333
12,5.363828667,7.450286,11.8,10.13333333
13,5.226,7.2276,11.62666667,9.733333333
14,5.126476,7.0036,11.289524,9.321904667
15,5.092666667,6.790666667,10.86666667,8.956190667
16,5.071238,6.575695333,10.46666667,8.655238
17,5.064095333,6.392876,10.06666667,8.4
18,5.066666667,6.244380667,9.666666667,8.133333333
19,5.070495333,6.056514,9.266666667,7.866666667
20,5.067809333,5.859447333,8.866666667,7.6
21,5.000686,5.659009333,8.6,7.333333333
22,4.897695333,5.567562,8.4,7.2
23,4.806419333,5.524438,8.388571333,7.166666667
24,4.761542667,5.511619333,8.367619333,7.133333333
25,4.756380667,5.539562,8.384762,7.133333333
